Unnamed: 0,French,English
0,partie,part
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
17,ville,city
19,parlé,speak
20,arrivé,come
21,bébé,baby
23,heures,hours
24,vont,will
26,revoir,meet again
27,aucune,any
30,compris,understood
32,étaient,were
34,voici,here is
35,pourrais,could
36,affaire,case
37,donner,give
41,corps,body
44,façon,way
45,écoute,listen
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,côté,side
52,pouvoir,power
54,sois,be
55,tiens,here
56,matin,morning
57,tellement,so much
58,enfant,child
60,venu,came
61,suite,after
65,vers,towards
66,minutes,minutes
68,chambre,bedroom
69,belle,beautiful
70,droit,law
71,aimerais,would like to
72,aujourd'hui,today
73,mari,husband
74,cause,cause
75,enfin,finally
76,espère,hope
77,eau,water
78,attendez,Wait
79,parti,left
80,nouvelle,new
81,boulot,job
84,terre,Earth
85,compte,account
88,fin,end
91,gros,large
92,plutôt,rather
95,jouer,to play
96,bureau,office
